week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2025-04-14,272,84608,58033,26575,129,259.71,23.0,5.0,82.0,33503,10511
2025-04-21,310,49954,42540,7414,91,288.4,56.0,11.5,126.0,26244,14099
2025-04-28,326,49030,40630,8400,51,210.55,59.0,11.5,161.0,10738,4055
2025-05-05,345,53763,45295,8468,41,151.44,92.0,26.0,223.0,6209,901
2025-05-12,381,48728,38618,10110,62,144.56,61.5,9.25,181.5,8963,1059
2025-05-19,118,26115,17686,8429,10,268.3,93.5,43.75,171.75,2683,1547
2025-05-26,166,30515,26061,4454,26,197.19,18.0,4.5,50.25,5127,1791
2025-06-02,128,19997,18902,1095,16,183.5,50.5,17.75,261.5,2936,1054
2025-06-09,16,417,415,2,0,0.0,0.0,0.0,0.0,0,0
2025-06-16,13,678,607,71,2,72.5,72.5,50.25,94.75,145,117
2025-06-23,428,33997,27416,6581,24,136.0,55.0,11.5,129.75,3264,710
2025-06-30,21,5680,4128,1552,3,481.33,105.0,67.5,707.0,1444,1309
2025-07-07,158,12158,9502,2656,30,127.23,16.5,6.75,121.75,3817,1282
2025-07-14,213,33825,28671,5154,25,268.2,81.0,22.0,195.0,6705,2963
2025-07-21,183,18011,13330,4681,36,162.75,42.0,12.0,273.25,5859,773
2025-07-28,348,49844,35631,14213,64,222.86,91.0,27.25,269.0,14263,2063
2025-08-04,574,273382,39868,233514,119,463.24,40.0,8.5,132.5,55125,35969
2025-08-11,386,99676,66269,33407,106,512.39,50.0,12.25,199.75,54313,36911
2025-08-18,395,76905,66258,10647,105,182.95,80.0,12.0,230.0,19210,2098
2025-08-25,224,19777,12238,7539,65,159.77,28.0,9.0,138.0,10385,1795
2025-09-01,280,195758,184297,11461,84,224.65,46.5,8.0,196.75,18871,4881
2025-09-08,388,61372,40833,20539,115,323.4,49.0,10.5,168.0,37191,14035
2025-09-15,216,39971,33351,6620,58,278.93,51.0,12.0,205.0,16178,7951
2025-09-22,355,71785,52102,19683,100,267.57,113.0,19.25,271.5,26757,1776
2025-09-29,428,125913,92537,33376,137,433.63,80.0,19.0,297.0,59407,8009
2025-10-06,179,18184,14494,3690,50,177.46,81.0,15.75,261.0,8873,1014
2025-10-13,244,58713,46653,12060,57,200.53,63.0,29.0,227.0,11430,1725
2025-10-20,261,45963,33081,12882,86,316.76,75.5,13.25,320.5,27241,5886
2025-10-27,294,53161,39355,13806,99,278.89,89.0,17.0,277.5,27610,3024
2025-11-03,202,53373,38689,14684,83,174.8,50.0,17.0,128.5,14508,2731
2025-11-10,370,131491,62176,69315,94,209.06,122.5,20.5,225.75,19652,2026
2025-11-17,567,113850,72080,41770,149,371.49,74.0,16.0,254.0,55352,24362
2025-11-24,102,18073,12919,5154,52,264.06,34.0,12.25,129.75,13731,7485
2025-12-01,420,52316,43566,8750,113,147.55,62.0,16.0,193.0,16673,852
2025-12-08,319,102552,91476,11076,132,674.05,66.0,13.75,226.5,88974,53576
2025-12-15,434,91441,67675,23766,131,244.76,71.0,16.0,300.0,32064,2630
2025-12-22,182,46939,41307,5632,40,270.93,72.0,18.25,328.75,10837,4201
2025-12-29,54,16054,11163,4891,26,250.23,27.5,10.0,228.0,6506,2372
2026-01-05,483,91693,70256,21437,140,258.86,86.5,24.25,311.0,36240,2256
2026-01-12,377,69612,58100,11512,145,241.82,107.0,24.0,288.0,35064,1802
2026-01-19,376,154544,60232,94312,147,831.03,77.0,17.5,220.5,122162,82808
2026-01-26,691,1126159,1007986,118173,208,652.31,60.0,9.75,254.25,135680,91513
2026-02-02,575,260942,113401,147541,203,433.14,127.0,20.0,368.0,87928,11267
2026-02-09,887,204881,152534,52347,270,320.19,111.0,23.0,368.75,86451,5901
2026-02-16,741,597938,152042,445896,191,516.65,106.0,17.0,314.0,98681,41183
2026-02-23,816,238107,168322,69785,208,401.7,131.5,39.75,437.0,83554,8763
2026-03-02,1122,469512,358198,111314,215,920.79,183.0,49.5,690.5,197970,28061
2026-03-09,951,935749,600179,335570,212,1038.52,226.0,77.5,573.75,220167,80539
2026-03-16,1218,600456,484240,116216,156,1425.74,247.5,78.75,694.0,222416,134250
2026-03-23,1396,850211,290303,559908,231,1078.7,150.0,32.5,579.5,249179,131101
2026-03-30,1124,293785,219822,73963,142,499.69,91.5,18.5,331.5,70956,28376
2026-04-06,1195,375232,326126,49106,205,389.4,122.0,22.0,454.0,79826,4620
2026-04-13,1419,451272,368540,82732,250,425.32,150.0,49.25,545.75,106330,4321
2026-04-20,2373,962434,687787,274647,295,664.32,218.0,35.5,683.5,195973,23655
2026-04-27,1816,606286,406157,200129,259,540.94,212.0,49.5,522.5,140103,13913
2026-05-04,1295,370116,256648,113468,244,646.22,178.5,62.25,510.25,157678,26319
2026-05-11,1238,805254,502450,302804,234,599.97,228.5,78.0,651.0,140392,12303
2026-05-18,1234,323085,237691,85394,218,384.97,188.0,60.5,456.5,83923,6496
2026-05-25,396,1246296,644847,601449,89,344.22,169.0,57.0,416.0,30636,2403
